id,topic,year_of_income,question,choice_A,choice_B,choice_C,choice_D
Q055,Division 7A & Company Tax,2014-15,"During the 2014 income year Marrowdale Holdings Pty Ltd, a private company, made unsecured complying loans of $70,000 and $40,000 to a shareholder, each with a 7-year term. Before the lodgment day, $28,000 of principal was repaid, so the amount of the amalgamated loan not repaid by the end of the 2014 income year is $82,000. The benchmark interest rate for the income year ended 30 June 2015 is 5.95% and the remaining term is 7 years. The minimum yearly repayment (MYR) is worked out using the formula MYR = (P x I) / (1 - (1 / (1 + I)) ^ T).

What is the minimum yearly repayment for the income year ended 30 June 2015?

A. $11,714.29
B. $16,649.55
C. $14,662.98
D. $4,879.00","$11,714.29","$16,649.55","$14,662.98","$4,879.00"
Q056,FBT,2023-24,"Harbourlight Community Care, a rebatable not-for-profit employer, provides cars for private use to two employees, Tobias and Ingrid, for the year ending 31 March 2024. The car fringe benefits are type 1 benefits (GST taxable supplies with an entitlement to a GST credit). Tobias's car fringe benefit, calculated using the statutory formula method, is $18,000, and Ingrid's is $16,500, giving total car fringe benefits of $34,500. The type 1 gross-up rate is 2.0802.

What is the type 1 aggregate amount for the car fringe benefits (item 14A of the FBT return)?

A. $33,730.44
B. $71,766.90
C. $34,500.00
D. $65,094.60","$33,730.44","$71,766.90","$34,500.00","$65,094.60"
Q057,Depreciation,2021-22,"Mei purchased a commercial oven for $3,500 and originally used it privately. She started a catering business and began using the oven wholly for that business from 1 April 2022. She uses the prime cost method and adopts the Commissioner's effective life for the oven of 8 years. There are 91 days between 1 April 2022 and 30 June 2022 (inclusive) on which she used the oven exclusively for her business in the 2021-22 income year; she holds it for 92 days in total once installation day is counted.

What deduction can Mei claim for the decline in value of the oven in the 2021-22 income year?

A. $110.27
B. $437.50
C. $220.55
D. $882.19",$110.27,$437.50,$220.55,$882.19
Q058,FBT,2024-25,"Coastline Pty Ltd gives an employee a gift with a notional taxable value of exactly $300. The employer is registered for GST and is entitled to a GST credit on the gift (a Type 1 benefit). The minor benefits exemption requires the notional taxable value to be LESS than $300.

What is the FBT payable on this benefit (the notional value is exactly $300)?

A. $141.00
B. $266.04
C. $0.00
D. $293.31",$141.00,$266.04,$0.00,$293.31
Q059,Employment,2023-24,"Marcus is made genuinely redundant in 2023-24 after 8 completed years of service. The genuine redundancy part of his payment is $95,000. On termination he is also paid out $7,000 of unused annual leave, which is taxed separately and is NOT part of the genuine redundancy payment. Marcus is 61 years old. For 2023-24 the genuine redundancy tax-free limit is the base amount of $11,985 plus the service amount of $5,994 for each completed year of service. The amount of the genuine redundancy payment above the tax-free limit is part of his employment termination payment (ETP).

How much of Marcus's $95,000 genuine redundancy payment is in excess of the tax-free limit and therefore part of his ETP?

A. $77,021
B. $59,937
C. $42,063
D. $35,063","$77,021","$59,937","$42,063","$35,063"
Q060,Depreciation,2019-20,"Oksana purchased a workbench that she held for two years and used wholly for a taxable purpose. She then sold the workbench for $2,100. Its adjustable value at the time of sale was $1,850. A balancing adjustment event occurs on disposal: you compare the termination value (sale proceeds) with the adjustable value.

What is Oksana's assessable balancing adjustment amount on the sale of the workbench (ignoring GST)?

A. -$250
B. -$300
C. $550
D. $250",-$250,-$300,$550,$250
Q061,Employment,2024-25,"Harbour Co pays PAYG instalments using the instalment rate (option 2). Its instalment income for the quarter (T1) is $148,000. The instalment rate provided by the ATO (T2) is 11%. The instalment amount is calculated as T1 × T2.

What is Harbour Co's PAYG instalment amount for the quarter?

A. $16,280.00
B. $1,345,454.55
C. $148,000.00
D. $162.80","$16,280.00","$1,345,454.55","$148,000.00",$162.80
Q062,Superannuation,2024-25,"Helena's Division 293 income (her income for surcharge purposes plus her low-tax/concessional contributions) is exactly $250,000 for 2024-25, made up of $225,000 income plus $25,000 of concessional contributions. Division 293 tax is 15% and is payable only on the amount OVER the $250,000 threshold (taking the lesser of that excess and the contributions). At exactly $250,000 there is no excess.

How much Division 293 tax does Helena pay for 2024-25?

A. $0.00
B. $0.15
C. $37,500.00
D. $3,750.00",$0.00,$0.15,"$37,500.00","$3,750.00"
Q063,Division 7A & Company Tax,2017-18,"Re Pty Ltd has a 30% corporate tax rate for imputation purposes (gross-up rate 2.33333) and a benchmark franking percentage of 50%. On 18 December 2017 it makes a frankable distribution of $12,500 but chooses to allocate no franking credits to it, so it under-franks. The under-franking debit = frankable distribution x franking % differential / gross-up rate, where the franking % differential is 50% (benchmark 50% less actual 0%).

What is the under-franking debit Re Pty Ltd must record in its franking account?

A. $2,678.58
B. $5,357.15
C. $6,250.00
D. $2,370.66","$2,678.58","$5,357.15","$6,250.00","$2,370.66"
Q064,Study and training loans,2024-25,"Sam has a HELP debt and repayment income of exactly $62,851 for 2024-25 - the first dollar of the 2.0% band ($62,851 - $66,620). For 2024-25 and earlier years the compulsory repayment is a flat percentage of the WHOLE repayment income (not a marginal calculation): once repayment income reaches a band, the band's rate applies to the entire repayment income.

What is Sam's compulsory HELP repayment for 2024-25?

A. $168.32
B. $628.51
C. $0.00
D. $1,257.02",$168.32,$628.51,$0.00,"$1,257.02"
Q065,Individual income tax,2023-24,"Tom is an Australian resident for the year ended 30 June 2024. He earns a salary of $105,000 and $1,200 of bank interest, and has $2,300 of deductible work-related expenses. During the year he also received a $5,000 inheritance from his late aunt; an inheritance is a capital receipt and is not assessable income. For 2023-24 the resident rates are: nil up to $18,200; 19c per $1 from $18,201 to $45,000; $5,092 plus 32.5c per $1 from $45,001 to $120,000; plus a 2% Medicare levy on taxable income.

What is Tom's income tax payable (including the 2% Medicare levy) for 2023-24?

A. $24,234.50
B. $27,106.00
C. $26,312.50
D. $28,037.50","$24,234.50","$27,106.00","$26,312.50","$28,037.50"
Q066,Individual income tax,2021-22,"Damien has a taxable income of $40,000 for the 2021-22 income year, and the ATO states his basic tax payable on this amount. For 2021-22 the first $18,200 is tax-free (the tax-free threshold) and income from $18,201 to $45,000 is taxed at 19c for each $1 over $18,200. This figure is the basic income tax before any offsets and excludes the Medicare levy.

What is Damien's basic income tax (before offsets and before the Medicare levy) on his taxable income of $40,000 for 2021-22?

A. $7,085
B. $4,578
C. $7,600
D. $4,142","$7,085","$4,578","$7,600","$4,142"
Q067,Individual income tax,2024-25,"Carla left Australia permanently and became a foreign resident on 14 October 2024. She is entitled to 4 months (July to October, counting the month she left) of the tax-free threshold. A part-year resident's tax-free threshold is a flat $13,464 plus $4,736 divided by 12 and multiplied by the number of resident months.

What is Carla's pro-rated tax-free threshold for 2024-25?

A. $6,066.67
B. $18,200.00
C. $1,578.67
D. $15,042.67","$6,066.67","$18,200.00","$1,578.67","$15,042.67"
Q068,Superannuation,2019-20,"During 2019-20 Tobias is employed as a barber and earns $42,000. He contributes $7,500 to his super fund as a personal contribution and decides to claim an income tax deduction for $6,000 of it (giving his fund a valid notice of intent). A deductible personal contribution is a concessional contribution, on which the super fund pays 15% contributions tax.

How much of Tobias's $6,000 deductible personal contribution is credited to his super fund account after contributions tax?

A. $5,100
B. $6,000
C. $6,375
D. $900","$5,100","$6,000","$6,375",$900
Q069,Depreciation,2019-20,"Greta receives $21,000 for a van she used in her business. The van has been used 30% of the time for private purposes (so 70% for a taxable purpose). At the time of sale the van's adjustable value is $30,000. Because the termination value ($21,000) is less than the adjustable value ($30,000) the raw balancing adjustment is a deduction, but it must be reduced to reflect only the 70% taxable use.

What deduction can Greta claim for the reduced balancing adjustment amount on the van (ignoring GST)?

A. $2,700
B. $6,300
C. -$6,300
D. $9,000","$2,700","$6,300","-$6,300","$9,000"
Q070,GST,2025-26,"BR Holdings reports GST monthly and accounts for GST on a cash basis. BR Holdings purchases equipment for $9,900 (including GST) and ultimately pays the full amount and holds a valid tax invoice, so it is entitled to the full GST credit on the purchase.

What is the total GST credit BR Holdings can claim on the $9,900 equipment purchase?

A. $900.00
B. $825.00
C. $990.00
D. $81.82",$900.00,$825.00,$990.00,$81.82
Q071,Income tests,2024-25,"Walter and Maureen are a married couple living together. Walter receives an age pension; Maureen has not reached age-pension age and is not eligible. Walter's rebate income is $37,800 (Maureen's is nil), and his determined rebate income is below the couple cut-out threshold, so he is eligible. The couple maximum SAPTO is $1,602 with a shading-out threshold of $30,994, and the offset reduces by 12.5c for each $1 of his actual rebate income over $30,994.

What SAPTO amount is Walter entitled to for 2024-25?

A. -$3,123.00
B. $751.25
C. $1,602.00
D. $1,379.25","-$3,123.00",$751.25,"$1,602.00","$1,379.25"
Q072,Company tax,2024-25,"Sterling Holdings Pty Ltd has aggregated turnover of $4 million for the 2024-25 income year, which is under the $50 million threshold. Its assessable income is $200,000, of which 90% is base rate entity passive income (rent, interest and unfranked dividends). Its taxable income is also $200,000.

What is Sterling Holdings Pty Ltd's company income tax payable for 2024-25?

A. $60,000
B. $10,000
C. $55,000
D. $50,000","$60,000","$10,000","$55,000","$50,000"
Q073,Depreciation,2024-25,"A survey instrument cost $50,000 and has an effective life of 4 years. It was first held on the first day of the income year (held all 365 days) and is used wholly for a taxable purpose by Coastline Surveys. The asset was started to be held after 10 May 2006, so the 200% diminishing value rate applies. In the first year the base value equals the cost of $50,000.

What is the decline in value for the first year under the diminishing value method?

A. $18,750
B. $25,000
C. $6,250
D. $12,500","$18,750","$25,000","$6,250","$12,500"
Q074,Employment,2023-24,"Bianca is made genuinely redundant in 2023-24 after 9 completed years of service and is below her preservation age. The genuine redundancy part of her payment is $120,000. For 2023-24 the tax-free limit is the base amount $11,985 plus the service amount $5,994 for each completed year of service. The part above the tax-free limit is the taxable component of her ETP; as it is well under the ETP cap ($235,000 for 2023-24), a person below preservation age is taxed on it at 30% plus the 2% Medicare levy (a combined 32%).

How much tax (including the 2% Medicare levy) applies to the part of Bianca's genuine redundancy payment that is above the tax-free limit?

A. $17,302.08
B. $38,400.00
C. $16,220.70
D. $32,646.72","$17,302.08","$38,400.00","$16,220.70","$32,646.72"
Q075,CGT,2024-25,"Priya, an Australian resident, buys a vacant block of land. She owns it for 22 months and sells it, making a profit (capital gain before discount) of $24,000. She has no capital losses.

What capital gain will Priya declare in her tax return after applying the CGT discount?

A. $6,000
B. $12,000
C. $48,000
D. $24,000","$6,000","$12,000","$48,000","$24,000"
Q076,Superannuation,2024-25,"Raj has taxable income (income for surcharge purposes) of $280,000 for 2024-25 and $25,000 of concessional (low-tax) contributions, giving Division 293 income of $305,000. Division 293 tax is 15%, charged on the LESSER of (a) the amount of Division 293 income over the $250,000 threshold and (b) the low-tax contributions. Here the excess is $55,000 but the contributions are only $25,000, so the lesser amount is $25,000.

How much Division 293 tax does Raj pay for 2024-25?

A. $4,500
B. $3,750
C. $8,250
D. $7,500","$4,500","$3,750","$8,250","$7,500"
Q077,FBT,2024-25,"Brightwater Pty Ltd gives one of its employees, Dana, a hamper with a notional taxable value of $275 as a one-off gift after she returns from parental leave. The employer is registered for GST and would be entitled to a GST credit on the hamper. No similar benefits are provided to Dana during the FBT year and it would be unreasonable to treat the hamper as a fringe benefit.

What is the taxable value of the hamper benefit for FBT purposes?

A. $275.00
B. $243.87
C. $0.00
D. $268.87",$275.00,$243.87,$0.00,$268.87
Q078,Superannuation,2021-22,"Diego has contributed less than his concessional contributions cap for several years and has accumulated $52,000 of unused concessional cap carried forward into 2021-22 (from 2018-19 to 2020-21). At 30 June 2021 his total super balance is below $500,000, so he is eligible to use his carried-forward amounts. The standard concessional contributions cap for 2021-22 is $27,500.

What is the maximum amount of concessional contributions Diego can make in 2021-22 using his carried-forward unused cap?

A. $41,500
B. $27,500
C. $79,500
D. $82,000","$41,500","$27,500","$79,500","$82,000"
Q079,Rental property,2024-25,"Spencer owns a property in Tasmania. He rents it out from 1 October 2024 to 7 May 2025, a total of 219 days, and lives in it alone for the rest of the year. The council rates are $1,650 per year. He apportions the council rates on a time basis (days rented).

What council rates deduction can Spencer claim against his rental income?

A. $1,650.00
B. $987.30
C. $990.00
D. $660.00","$1,650.00",$987.30,$990.00,$660.00
Q080,Individual income tax,2021-22,"Naomi's taxable income is $42,000 for 2021-22. The ATO works out her low income tax offset (LITO) as the maximum offset of $700 minus 5 cents for every dollar of taxable income above $37,500.

What is Naomi's low income tax offset (LITO) amount for 2021-22?

A. $632.50
B. $700.00
C. $475.00
D. -$1,400.00",$632.50,$700.00,$475.00,"-$1,400.00"
Q081,CGT,2024-25,"In the 2024-25 income year Tom has two CGT events. He makes a $12,000 capital gain on shares he held for 3 years (eligible for the 50% discount). He also sells a rental property he held for 6 years for less than its reduced cost base, making a capital LOSS of $9,000. The 50% CGT discount applies only to capital gains, never to capital losses; capital losses are applied at their full value against gains BEFORE the discount.

What is Tom's net capital gain for 2024-25 after applying the capital loss and the CGT discount?

A. $3,750
B. $3,000
C. $1,500
D. -$3,000","$3,750","$3,000","$1,500","-$3,000"
Q082,Division 7A & Company Tax,2017-18,"Re Pty Ltd has a 30% corporate tax rate for imputation purposes (gross-up rate 2.33333) and a benchmark franking percentage of 50%. On 31 January 2018 it makes a frankable distribution of $12,500 franked to 70%, which exceeds its 50% benchmark, so it over-franks. The over-franking tax = frankable distribution x franking % differential / gross-up rate, where the differential is 20% (70% actual less 50% benchmark).

How much over-franking tax does Re Pty Ltd incur on the distribution?

A. $948.26
B. $1,071.43
C. $2,500.00
D. $3,750.01",$948.26,"$1,071.43","$2,500.00","$3,750.01"
Q083,Division 7A & Company Tax,2019-20,"Ironbark Industries has a prior-year aggregated turnover over $50 million, so it is not a base rate entity and its corporate tax rate for imputation purposes for the 2019-20 income year is 30%. It wants to distribute $250,000 of profit to its shareholders. The maximum franking credit is the frankable distribution multiplied by (1 / applicable gross-up rate), where the gross-up rate = (100% - 30%) / 30% = 2.3333.

What is the maximum franking credit Ironbark Industries can attach to the $250,000 distribution?

A. $94,826.28
B. $75,000.00
C. $583,325.00
D. $107,144.39","$94,826.28","$75,000.00","$583,325.00","$107,144.39"
Q084,Division 7A,2024-25,"On 1 September 2024, Marlowe Pty Ltd, a private company, lends $40,000 to its shareholder Priya. Priya repays the entire $40,000 in full on 1 April 2025, which is before the company's lodgment day for the 2024-25 income year (the earlier of the due date for lodgment or the actual lodgment date). There is no written loan agreement. The Division 7A benchmark interest rate for 2024-25 is 8.77%.

What is the amount of the deemed Division 7A dividend to Priya for 2024-25?

A. $43,508
B. $0
C. $40,000
D. $3,508","$43,508",$0,"$40,000","$3,508"
Q085,Employment,2023-24,"Darren receives a genuine redundancy payment in 2023-24. The genuine redundancy part of his payment is $205,000. His tax-free part is $95,901, based on his 14 years of service (2023-24 base amount $11,985 plus service amount $5,994 per completed year). The amount above the tax-free limit is part of his employment termination payment (ETP) and is subject to the ETP cap.

How much of Darren's $205,000 genuine redundancy payment is in excess of the tax-free limit and therefore part of his ETP (subject to the ETP cap)?

A. $95,901
B. $109,099
C. $121,084
D. $187,021","$95,901","$109,099","$121,084","$187,021"
Q086,Rental property,2024-25,"Beverley rents out one room in her residence (floor area 25% of the residence) plus equal shared access to the general areas (kitchen, bathroom, laundry, floor area 55% of the residence) for the full 12 months at $300 per week. The annual mortgage interest, building insurance, rates and taxes for the whole property are $16,000. The room expenses are 25% of $16,000; the general-area expenses are 55% of $16,000 apportioned 50% to reflect Beverley's equal shared use.

What is Beverley's net rental income from renting out the room for the year?

A. $2,800
B. $7,200
C. $11,600
D. $9,200","$2,800","$7,200","$11,600","$9,200"
Q087,Study and training loans,2025-26,"Harriet has a HELP debt and a repayment income of $96,000 in the 2025-26 income year. From 2025-26 the system is marginal: she pays 15% of her repayment income above $67,000. (Before the law change the repayment would have been 3.5% of her total $96,000 repayment income, i.e. $3,360.)

Under the 2025-26 marginal system, what is Harriet's compulsory HELP repayment?

A. $4,350
B. $3,360
C. $14,400
D. $1,015","$4,350","$3,360","$14,400","$1,015"
Q088,Division 7A & Company Tax,2013-14,"Pinehurst Logistics Pty Ltd's franking account starts at $0. During the 2013-14 year it records franking credits for PAYG instalment payments of $120 (21 Jul 2013), $180 (21 Oct 2013), $240 (21 Jan 2014) and $160 (21 Apr 2014), and a $45 credit for a fully franked dividend received on 27 Jun 2014. It records franking debits of $250 for a tax refund on 1 May 2014 and $400 for a franked distribution to members on 30 June 2014.

What is the franking account balance as at 30 June 2014?

A. $595
B. $895
C. $50
D. $95",$595,$895,$50,$95
Q089,CGT,2023-24,"Soraya bought a property for $333,000 under a contract dated 19 June 2023 (deposit $33,000, balance $300,000 on settlement 7 August 2023), paying $9,000 stamp duty and $3,000 solicitor's fees on purchase. She sold the property on 20 October 2023 for $420,000, incurring $2,000 solicitor's fees and $4,500 agent's commission on sale. Her cost base is $351,500 (300,000 + 33,000 + 9,000 + 3,000 + 2,000 + 4,500). As she bought and sold within 12 months she must use the 'other' method.

What is Soraya's capital gain on the property using the 'other' method?

A. $37,500
B. $75,000
C. $34,250
D. $68,500","$37,500","$75,000","$34,250","$68,500"
Q090,Rental property,2024-25,"Anjali and Theodore jointly own a holiday home. They rent it out for 5 weeks (15 December to 19 January) and reserve it for their own use the rest of the year. Their total expenses for the home were $46,950, of which $1,450 is the agent's commission and advertising for tenants (fully deductible). The remaining $45,500 of expenses (interest, insurance, repairs, maintenance, council rates) must be apportioned to the 5 weeks (out of 52) the property was rented out. They received $3,900 per week x 5 = $19,500 in rent.

What net rental income do Anjali and Theodore declare for the year (combined)?

A. -$23,075.00
B. -$27,450.00
C. $14,985.58
D. $13,675.00","-$23,075.00","-$27,450.00","$14,985.58","$13,675.00"
Q091,Individual income tax,2025-26,"In 2025-26 Leon is 38, single with no dependants and has no appropriate private patient hospital cover. His taxable income is $85,000 and he declares total reportable fringe benefits of $23,000, so his income for MLS purposes is $108,000. For 2025-26 a single person with income for MLS purposes between $101,001 and $118,000 is a Tier 1 earner and pays MLS at 1%, calculated on the sum of taxable income and reportable fringe benefits.

What is Leon's Medicare levy surcharge liability for 2025-26?

A. $2,160
B. $1,080
C. $1,350
D. $850","$2,160","$1,080","$1,350",$850
Q092,Rental property,2024-25,"Priscilla and her sister Coralie bought a newly built rental property on 24 August 2024 as tenants in common (50% each). A professional report identifies a new oven as a depreciating asset, and Priscilla's interest in the oven has a cost (base value) of $1,800 with an effective life of 8 years. They held the asset for 311 days of 2024-25 and use it wholly to produce rental income, so the decline in value is worked out using the diminishing value method: base value x (days held / 365) x (200% / effective life).

What is Priscilla's decline in value deduction for her interest in the oven for 2024-25?

A. $191.71
B. $225.00
C. $450.00
D. $383.42",$191.71,$225.00,$450.00,$383.42
Q093,GST,2025-26,"Nadia purchases a new non fuel-efficient car for $84,500 (including $7,200 GST and luxury car tax) on 12 July 2025 and plans to use it 100% in carrying on her business. The car limit for the 2025-26 financial year is $69,674. Because the car's price exceeds the car limit, the GST credit is capped at one eleventh of the car limit.

What is the maximum GST credit Nadia can claim on the car for 2025-26?

A. $7,200.00
B. $6,334.00
C. $6,967.40
D. $7,681.82","$7,200.00","$6,334.00","$6,967.40","$7,681.82"
Q094,Individual income tax,2024-25,"Priya is single with no dependants and her income for Medicare levy surcharge (MLS) purposes for 2024-25 is $130,000, which sits in the 2024-25 single Tier 2 band ($113,001 - $151,000, rate 1.25%). However, Priya held an appropriate level of private patient HOSPITAL cover for the entire income year. The MLS only applies for the days a person does NOT have appropriate hospital cover, so a full year of hospital cover means no surcharge regardless of income.

What is Priya's Medicare levy surcharge for 2024-25?

A. $1,625
B. $0
C. $1,300
D. $2,600","$1,625",$0,"$1,300","$2,600"
Q095,Depreciation,2019-20,"During 2019-20, Priya bought a scanner for $910 (a low-cost asset). She estimated 80% taxable use, so she allocated 80% of the cost, that is $728, to her low-value pool. At the end of 2018-19 her low-value pool had a closing balance of $8,000. In 2019-20 she allocated no other low-cost or low-value assets to the pool. The pool rate is 37.5%, and low-cost assets allocated during the year are written off at half that rate (18.75%) in the year they are added.

What is Priya's deduction for the decline in value of the low-value pool for 2019-20 (ignoring GST)?

A. $3,273.00
B. $1,636.50
C. $1,773.00
D. $3,136.50","$3,273.00","$1,636.50","$1,773.00","$3,136.50"
Q096,Depreciation,2025-26,"Tomas is a sole trader (aggregated turnover under $10 million) using the simplified depreciation rules. He had claimed his backhoe under temporary full expensing in an earlier year. On 19 September 2025 he buys and installs a new hydraulic attachment for the backhoe costing $14,000 - the first addition to the second element of the backhoe's cost, and under the $20,000 instant asset write-off limit. He also buys a new plasma cutter for $3,800 (used only for business, delivered 6 February 2026), which is also under the limit. Both amounts are immediately deductible in his 2025-26 return.

What total deduction can Tomas claim in 2025-26 for the attachment cost addition and the plasma cutter?

A. $17,800
B. $3,800
C. -$2,200
D. $14,000","$17,800","$3,800","-$2,200","$14,000"
Q097,Rental property,2024-25,"Harriet and Bruce acquired a rental property (as joint tenants, not carrying on a business of letting rental properties) on 24 August 2024. A supervising architect estimated the construction cost eligible for capital works deduction at $168,400. Construction started in October 1992, so the deduction rate is 2.5% per year. Because they acquired the property part-way through the year, they can claim the deduction only for the 311 days from 24 August 2024 to 30 June 2025.

What is the maximum capital works deduction Harriet and Bruce can claim for 2024-25?

A. $3,577.35
B. $4,210.00
C. $3,587.15
D. $5,739.44","$3,577.35","$4,210.00","$3,587.15","$5,739.44"
Q098,CGT,2024-25,"In 2024-25 Owen makes two capital gains: a $48,000 gain on an investment property he owned for 6 years (eligible for the 50% CGT discount) and a $9,000 gain on a painting (a collectable) he bought and sold within 8 months (held less than 12 months, so NOT eligible for the discount). He also has a $5,000 carried-forward net capital loss. To maximise the benefit, he chooses to apply the capital loss first against the gain that does NOT qualify for the discount. Capital losses are always applied before the discount.

What is Owen's net capital gain for 2024-25?

A. $33,000
B. $26,000
C. $28,000
D. $30,500","$33,000","$26,000","$28,000","$30,500"
Q099,CGT,2024-25,"Priya, an Australian resident for tax purposes, signs a contract to buy a residential investment property on 5 August 2024 and signs the contract to sell it on 1 July 2025 – an ownership period of just under 11 months between the two contract dates. She makes a capital gain of $40,000 (capital proceeds less cost base) and has no capital losses. The CGT discount requires the asset to be owned for at least 12 months before the CGT event (the contract date), excluding the days of acquisition and the CGT event.

What capital gain must Priya include in her 2024-25 tax return?

A. $40,000
B. $20,000
C. $10,000
D. $30,000","$40,000","$20,000","$10,000","$30,000"
Q100,GST,2024-25,"Ferndale Pty Ltd is registered for GST and reports on a quarterly basis. For the quarter it has GST-inclusive taxable sales of $154,000 and GST-free sales (basic food) of $22,000. It also has $66,000 of GST-inclusive creditable business purchases. The GST fraction is 1/11.

What is Ferndale Pty Ltd's net GST payable for the quarter?

A. $10,000
B. $20,000
C. $8,000
D. $14,000","$10,000","$20,000","$8,000","$14,000"
Q101,FBT,2025-26,"Highmoor Station Pty Ltd provides board fringe benefits valued at $18,250 to its employees for the FBT year ending 31 March 2026 (the taxable value of a board fringe benefit is $2 per meal per person). The employer does not require employees to make any contribution towards their board meals and accommodation, and the employees would not have been entitled to an income tax deduction had they paid for their meals.

What is the taxable value of the board fringe benefits for the FBT year ending 31 March 2026?

A. $34,434.10
B. $9,125.00
C. $8,577.50
D. $18,250.00","$34,434.10","$9,125.00","$8,577.50","$18,250.00"
Q102,FBT,2024-25,"Eastgate Pty Ltd provides an expense payment fringe benefit to its employee, Hiro, with a taxable value (before any contribution) of $3,000. Under the salary arrangement Hiro pays the employer an after-tax employee contribution of $3,200 towards the cost of the benefit. The employer includes the contribution in its assessable income.

What is the taxable value of the fringe benefit after the employee contribution?

A. -$200
B. $6,200
C. $3,000
D. $0",-$200,"$6,200","$3,000",$0
Q103,GST,2016-17,"Mr Okafor ceases business and cancels his GST registration. He still holds a motor vehicle that has a market value of $33,000, on which he had claimed GST credits in an earlier activity statement. The vehicle is used 60% for business purposes. On cancelling registration he must make an increasing adjustment for the GST attributable to the business-use portion of the asset still on hand.

What is the GST payable (increasing adjustment) by Mr Okafor on cancelling his GST registration?

A. $1,980
B. $3,000
C. $1,200
D. $1,800","$1,980","$3,000","$1,200","$1,800"
Q104,Rental property,2024-25,"A rental property owner completes the ATO rental property worksheet. The gross rent is $14,200 (rental income $13,100 plus other rental-related income $1,100). The total of all deductible rental expenses for the year (advertising, body corporate, borrowing expenses, cleaning, council rates, decline in value, gardening, insurance, interest on loans, land tax, legal, pest control, agent fees, repairs, capital works, stationery, travel, water and sundry) is $27,850.

What is the net rental income or loss for the year?

A. $42,050
B. -$13,650
C. -$19,350
D. $13,650","$42,050","-$13,650","-$19,350","$13,650"
Q105,Superannuation,2026-27,"From 1 July 2026 the annual non-concessional contributions cap is $130,000. Genevieve, who is under 75 with a total super balance below the relevant limit, triggers the 3-year bring-forward arrangement in 2026-27. Once triggered, the bring-forward cap is locked to the first-year cap and any later indexation (for example to $140,000 in years 2 and 3) does not apply.

What is Genevieve's total non-concessional contributions bring-forward cap over the 3-year period?

A. $390,000
B. $260,000
C. $410,000
D. $130,000","$390,000","$260,000","$410,000","$130,000"
Q106,FBT,2016-17,"Coral Coast Plumbing has a car with $14,000 in total operating costs for the year ending 31 March 2017. The employee who uses the car, Hugo Marsden, maintains a logbook. Based on the logbook and other usage patterns, the employer estimates the percentage of private use to be 40% (and therefore the business use percentage is 60%). Hugo has not made any contributions during the year.

What is the taxable value of the car fringe benefit using the operating cost method for the FBT year ending 31 March 2017?

A. $8,400
B. $5,600
C. $2,800
D. $14,000","$8,400","$5,600","$2,800","$14,000"
Q107,Superannuation,2022-23,"Nadia earns $33,000 a year as a childcare assistant. In 2022-23 her employer makes a super guarantee concessional contribution of $3,600 into her super fund. She lodges a tax return with $1,000 of deductions, giving an adjusted taxable income of $32,000, which is under the $37,000 LISTO income limit, and she meets all other eligibility criteria. LISTO is 15% of concessional contributions, capped at $500.

What low income super tax offset (LISTO) is paid into Nadia's super fund?

A. $360
B. $270
C. $540
D. $500",$360,$270,$540,$500
Q108,CGT,2013-14,"Bridget bought a house on 1 hectare of land under a contract settled on 1 July 1991 and moved in immediately. On 1 July 1995 she moved out and rented out the house, and did not choose to treat it as her main residence for that period. A contract for the sale was entered into on 1 July 2013 (settled 31 August 2013) and Bridget made a total capital gain of $150,000. Over her ownership period the dwelling was not her main residence for 5,840 days out of a total of 7,300 days.

What is the taxable portion of Bridget's capital gain under the main residence partial exemption?

A. $120,000.00
B. $30,000.00
C. $149,999.20
D. $60,000.00","$120,000.00","$30,000.00","$149,999.20","$60,000.00"
Q109,Depreciation,2019-20,"Following on from Priya's low-value pool example: the closing pool balance for 2018-19 was $8,000, the taxable-use cost of the scanner added in 2019-20 was $728, and the decline in value of the pool for 2019-20 was $3,137. The closing balance equals the prior closing balance plus assets added during the year, less the decline in value for the year.

What is the closing balance of Priya's low-value pool for 2019-20 (ignoring GST)?

A. $5,591
B. $8,728
C. $4,863
D. $4,135","$5,591","$8,728","$4,863","$4,135"
Q110,Study and training loans,2025-26,"In the 2025-26 financial year, Marcus has a taxable income of $61,300, total reportable fringe benefits of $6,200, a total net investment loss of $2,400, reportable super contributions of $18,000, and exempt foreign employment income of $3,100.

What is Marcus's repayment income for 2025-26 (the amount used to work out his compulsory study loan repayment)?

A. $91,000
B. $61,300
C. $84,800
D. $88,600","$91,000","$61,300","$84,800","$88,600"
Q111,FBT,2024-25,"Baseline Sports Manufacturing makes tennis racquets for sale by wholesale. Some racquets are damaged during manufacturing. Instead of the normal arm's length selling price (including GST) of $80, the damaged racquets have a market (notional) value of $48 each. An employee, Reuben Castle, buys a damaged racquet for $8. Because the racquet is similar but not identical to goods sold in the ordinary course of business, the taxable value is 75% of the notional value, reduced by the employee contribution.

What is the taxable value of this in-house property fringe benefit?

A. $40
B. $36
C. $28
D. $52",$40,$36,$28,$52
